,safegraph_place_id,poi_cbg,latitude,longitude,source_cbg,visits
5717,sg:218907ae7824473da232700b61e11c94,170318015001,42.152091,-87.821574,181050002012,4
5740,sg:2f33d81d521949a8981eb14365ecc0ae,170318118002,41.907439000000004,-87.908647,181050002012,4
5772,sg:4d0e235cc8d04be4954292cc54e6afde,170978641052,42.27686,-88.020673,181050002012,5
5775,sg:15e12038f56c476695dc6c61b6a4f986,170318123012,41.888999,-87.802616,181050002012,4
5780,sg:4f2f98475abb4f6c8d88cf4ee5ce6af4,170978645121,42.198137,-87.967433,181050002012,4
5799,sg:abdba5f6e1254b4c8f16faa57bf5ed1f,171635034121,38.657778,-90.027782,181050002012,4
5817,sg:44f29be1b8114ba0a9ac9a0bd398fe8b,170978645171,42.196146,-87.97246899999999,181050002012,4
5828,sg:b6d35b07e83c4e75a6c96189c55cb3ad,180118106032,39.949257,-86.28190500000001,181050002012,4
5887,sg:6322b5b6fad643de8902d1ee0366bc59,180973906001,39.867605,-86.013961,181050002012,4
5889,sg:a3237802498748b2b6e2a40c91d841dc,180571108121,39.965225,-86.043649,181050002012,4
5901,sg:3f0a73c6da3a46ddbb0e034d3cb58b21,180973301052,39.908376000000004,-86.058515,181050002012,4
5903,sg:b14c01a41e4e4d3587f00bec5553a5ec,180571108072,39.95968,-86.009878,181050002012,4
5934,sg:3d4489777c944a459cca34de3ddbc773,180350023012,40.107991999999996,-85.392839,181050002012,4
5947,sg:3b6adef7bf93467db802a3fd16e23ead,180030106042,41.133016,-85.19051999999999,181050002012,4
6019,sg:509936b003a645ae9a3288c158e2de75,180030116081,41.072958,-85.276837,181050002012,4
6027,sg:792c4eb682b840df9a7f5114640f37c2,180050102003,39.223422,-85.903503,181050002012,4
6038,sg:9f9026e0754a4377991672bb80a7e6e2,180890430021,41.428038,-87.337294,181050002012,4
6054,sg:d64a3d77b4184f67bb8b81955894a0d7,180571108121,39.958578,-86.042395,181050002012,5
6120,sg:765eac870b9640bf98cda90f8da57676,180973556001,39.758875,-86.113109,181050002012,4
6121,sg:dd7b97de012a4029b96a3f5cb36f0051,180050105004,39.221537,-85.887783,181050002012,4
6138,sg:6f9fc88189584767829032ad227d1f2e,180571108041,39.957219,-85.920005,181050002012,4
6151,sg:e2268ed120da475c808ac79b5417d930,180050111002,39.310361,-85.965662,181050002012,4
6182,sg:61356ddbafa14dec9c5991d65b401587,180571108042,39.958292,-85.917909,181050002012,4
6188,sg:07fa25e25d0a4e958def4a7c26218e7b,180659768003,39.850916,-85.41216700000001,181050002012,4
6238,sg:da6ea717dd0b48f9be7a02760344b5e1,180571108081,39.989857,-85.921874,181050002012,4
6255,sg:05152598ef0748de942dbe8eded3a5eb,180571108081,39.959578,-85.922403,181050002012,4
6278,sg:54d3a204d61d4f91b1f102df943f966e,180571108071,39.955611,-86.001949,181050002012,4
6279,sg:0f28227140db4b01b901f1fedb690479,180719679021,38.955252,-85.89655,181050002012,5
6285,sg:5a9831f6dfc54737a6661e9715bac1a8,180890431022,41.392246,-87.36828,181050002012,4
6293,sg:8d61acd05f424383910d5a9945054ae1,180571110081,39.972437,-86.15456400000001,181050002012,4
6601,sg:2c1c36202c0c40e78253bc32540d1258,110010006002,38.935743,-77.058942,181050002012,4
6617,sg:a68fceeda95849c3beda5de391c212d6,60730062001,32.733579,-117.192718,181050002012,4
6637,sg:d2e54ec217f34e60a0257457a6a50cca,60590116023,33.859803,-117.92114299999999,181050002012,4
